stroke_sequence,character,encoding
132512111254444,碼,rovv-T
132512111254444413434,礮,rovv-Tii8x
1325121121251124124,礡,roh+\g-\
13251211234,砹,rohx
132512112415,硭,rohiiv
1325121124411251124124,礴,rohiii+\g-\
1325121124511353334,礞,rohn--e
1325121251,砧,rofo
1325122,矵,roll
132512342511,硝,rowg
132512343,砂,rol8 or /l\/
132512343511,硝,rowg
132512343541,硝,rowg
13251243135,硄,row-a
132512432511,硝,rowg
132512433511,硝,rowg
132512433541,硝,rowg
132512434525125121,礑,rownoo+
1325125111124,碍,rob--\
13251251113533,碭,rob-9O//
1325125112,砷,robl
13251251125113511,礀,roinTg
13251251135345,碣,rob9Ova
1325125115545544444,礘,rob226/\\\
1325125121554234,磥,roo+⿽vdw
1325125122134,碘,robll8
132512512341,硱,rooOm
13251251251,硐,ron-o
13251251251251112,磾,rooob+
132512521251431,磑,rolu-oh
13251252134334,碳,rolurq
132512522112143112,礋,ronht8-+
1325125232411121,磪,rolua2f-
1325125235113511,磞,rolugg
1325125235443544,磞,rolugg
13251252515,硙,roluv-v
1325125252,础,roulu
1325125312341,碅,rooO/m
132512535,砚,rona
13251311234,硃,ro/im
13251311253134,碶,roiiilviq
1325131211,砟,roalii
132513121534,硪,ro/fx\
132513121543,硪,ro/fx\
13251313425125251,礄,ro/qono
13251313432,硚,ro/q/l
1325131525,砤,roavvl
132513212154,硟,roz\/fv
1325132121554,硟,roz\/fv
13251321554,硟,roz\/fv
132513215554,硟,roz\/fv
13251324111214444,礁,roa2f-/\\\
1325132511312,碑,ro/b/+
13251325113554,磈,ro/o+ad
132513251141353134,礉,ro/b2pax
132513251141533134,礉,ro/b2pax
132513251213554,磈,ro/o+ad
13251325341,硇,ro/oOx
132513253431234134,礇,ro/n/8mq
13251325431234134,礇,ro/n/8mq
132513321531535,磃,rorfr7a
1325133234342134,磫,ro/aaafa
13251333253134,碶,roiiilviq
1325133445112,碀,ro/\\/c-
13251335125122,碥,roic/nh
13251341121,硂,roaj-
1325134112431,碒,roajh
1325134121,砼,roa--
13251341253511134,磸,ro8-4-q
1325134134,砭,ro/\v\
132513413533344454,礈,ro\z8-e
13251341353334454,礈,ro\z8-e
132513413533344554,礈,ro\z8-e
132513414431,硷,roa-\\/-
132513415,砛,roaiv
13251342524312511,磳,ro8247
13251343123425121,磻,ro/8mo+
1325134435112,碀,ro/\\/c-
132513445,砛,roaiv
132513453,砏,ro8vi
132513454,砭,ro/\v\
1325135112251,碉,ronto
1325135113511,硼,rogg
1325135121251,碉,ronto
13251351251214,碸,ro/v/od
13251351355,硊,ro9rvv
1325135151,砥,rorx\
1325135154,砥,rorx\
132513525,砘,ro-uv
1325135254,破,rorlx
1325135311345452134,礙,ro7aqdvfa
13251353251214,碸,ro/v/od
132513535,砒,ro77
132513535112,确,ro9nt
132513535121,确,ro9nt
132513541521234,磔,ro9i+vm
1325135415411234,磜,ro9i\\v2w
13251354251,硌,ro9\o
1325135443544,硼,rogg
1325135445411234,磜,ro9i\\v2w
13251355112,碀,ro/\\/c-
1325135515,砲,ro9Ovc
1325141121,砫,ro\j-
132514125125251,碻,roiiono
13251412514512,碠,roiion-l
13251412515213134,礅,roiioz-ax
13251413,矿,ro\r
13251413122112512134,礦,ro\rh--nt8
1325141312212512134,礦,ro\rh--nt8
1325141342513534,磙,roii/w8d
1325141343412,碎,roiiaa+
132514134543534,磙,roii/w8d
132514135112251,磄,ro\rc+o
1325141352513534,磙,roii/w8d
1325141431,砬,roiih
1325141431251,碚,roiiho
13251414345252,碲,roii8nnl
132514143454135,磅,roii8n2p
132514143454153,磅,roii8n2p
132514154325,硫,roii228
13251431113121,磋,roht/--
132514311213121,磋,roht/--
132514311213121534,礒,roht/fx\
132514311213121543,礒,roht/fx\
1325143122431,碰,roh4-
13251431225211,碰,roh4-
13251431234354152,磷,ro8m9i+v
13251431253511134,磸,ro8-4-q
132514313533344454,礈,ro\z8-e
13251431353334454,礈,ro\z8-e
132514313533344554,礈,ro\z8-e
13251431554554,磁,roh226
13251432524312511,磳,ro8247
13251441125111234,磲,roiii--cm
1325144115151234,磲,roiii--cm
1325144512134,碇,ro\n-fa
1325144535,砣,ro\n7
13251445354251,碦,ro\n9\o
1325144535455,碗,ro\n9ivv
1325144553,砣,ro\n7
13251451325122,碥,roic/nh
132514532411121,確,rona2f-
1325151124134,碌,ro⿼c-l3
132515131221534,碾,roc/h-v\/
1325151532,砩,ro/lcv
1325152252,础,roulu
1325153254,破,rorlx
13251533,砀,rov//
1325153311345452134,礙,ro7aqdvfa
132515353,砒,ro77
1325154121,硁,rov\--
1325154134333,碜,rodq///
13251543341251431,磴,rov\//\-oh
13251544331251431,磴,rov\//\-oh
132515454541234,磉,ro444m
1325154545434333,磣,roddda///
13251551,码,rovv-
1325155124134,碌,ro⿼c-l3
1325155414,砪,rovv3
1325155441,砪,rovv3
13251554554134534,磯,ro226-x\a
13251554554134543,磯,ro226-x\a
13252,布,xOnl
132521,存,xOlz-
132522111,面,roll2
1325221112511135,靦,roll2ea
132522124,耐,rnll-\
132522134,耎,rnllq
13252235451,鸸,rnllniv-
1325224544,恧,rnll/v\\
132522531,耍,rnlly
13252511,靣,roOo
132534,页,re8
13253422,厕,re8ll
132543112,南,+n8-+
1325431121344,献,+n8-+q\
13312343123413251,磿,r/m/mro
133125,匠,cOrr
133232411121,雁,raa2f-
1332324111212511134,贋,raa2f-e8
1332324111212534,赝,raa2f-e8
1332511111535,厩,rv⿼c-\rvv
1332511151535,厩,rv⿼c-\rvv
1332511234,原,r/bw
1332511234132511134,願,r/bwre8
13325112344544,愿,r/bw/v\\
1332511351535,厩,rv⿼c-\rvv
1332511531535,厩,rv⿼c-\rvv
1334,仄,ra
1335114143125111515111,龓,xgk2T
1335114143135111515111,龓,xgk2T
1335114143135411515111,龓,xgk2T
13351152,郁,xgzl
133511552,郁,xgzl
13351251225,匾,cOic/nh
134115,夸,q--v
13411522,刳,q--vll
13411532511154444,鴮,q--vniv-T
13411533544,瓠,q--vrd\
13411535515,匏,q--v9Ovc
1341153554234,綔,q--v/⿽vdw
13411552,郀,q--vzl
134115552,郀,q--vzl
1341211154,套,qliii-d
134121121,奎,qtt
134121312,奔,q+h
13412132,奔,q+h
13412132511,奢,q/tb
134121325114,奢,q/tb
134122111,耷,qr3l
134124,夺,q-\
13412512,奇,q-lo
1341251222,剞,q-loll
134125123534,欹,q-lo9a
1341345,奁,qcOx
134143125111515111,龎,rk2T
134143135111515111,龎,rk2T
134143135411515111,龎,rk2T
1342111154,套,qliii-d
13425115,奄,qbv
1342511535451,鹌,qbvniv-
13425121,奋,qo+
13425234343434251214,蠒,-8nlxxxxod
1342523434343432511154444,鸍,-8nlxxxxniv-T
134252343434344454,邇,\z-8nlxxxx
13425234343434454,邇,\z-8nlxxxx
134252343434344554,邇,\z-8nlxxxx
134315233534,厥,rhul9a
13431523353422,劂,rhul9all
1343152335342512134,蹷,rhul9aofa
134315233534251214,蟨,rhul9aod
134322,夼,q/ll
134334,灰,xOq
13433425221,盔,xOqnh
1343434132511134,頰,qaare8
13434343434,爽,qxxxx
134343452,郟,qaazl
1343434552,郟,qaazl
134413441344351251214,飆,q\q\q\/v/od
134413441344353251214,飆,q\q\q\/v/od
1344134413443534,飙,q\q\q\/vx
134425221,盇,q\nh
13443251123435451,鹩,q8bwniv-
13444544,态,q\/v\\
134453112,牵,qna+
134454,达,\zq
1344554,达,\zq
1345,区,cOx
134512154,瓯,cOx-vv\
13451554,瓯,cOx-vv\
13453,夯,qv/
134534,戍,rx\\
13453534,欧,cOx9a
134535451,鸥,cOxniv-
13453554,殴,cOx9x
134543,戍,rx\\
13511541535,厩,rv⿼c-\rvv
13513125125534,臧,k-x\rlc2
13513125125543,臧,k-x\rlc2
1351353334,豗,-a-e
1352231425221,尴,klla\nh
1352512134,趸,rvofa
135333412132511,豬,-e/tb
1353334121325114,豬,-e/tb
1353334121451251431,豷,-e+-n-oh
13533341251124,豧,-e+\g
135333425111,豠,-eg-
1353334251115154,豭,-elc--c4
13533343413252,豨,-exxOnl
13533344454,逐,\z-e
1353334454,逐,\z-e
13533344554,逐,\z-e
1353334512115154,豭,-elc--c4
135341134,䶮,k2-q
13534121,垄,k2t
13534122111,聋,k2r3l
13534122134,龚,k2h-8
1353413251,砻,k2ro
1353432,尬,ka/l
135344111251,詟,k24o
13534413534,袭,k2ii/w
135351,尥,k9O\
135354,尥,k9O\
1354111534,残,-9i-x\-
1354111543,残,-9i-x\-
135411534,残,-9i-x\-
135411543,残,-9i-x\-
1354121451251431,殪,-9i+-n-oh
135412251111,殖,-9i+n-iii
135412251115,殖,-9i+n-iii
1354125251541,殛,-9izo4-
135413251111,殖,-9i+n-iii
135413251115,殖,-9i+n-iii
135415251541,殛,-9izo4-
135422,列,-9ill
13542232511154444,鴷,-9illniv-T
13542235451,䴕,-9illniv-
135422413534,裂,-9illii/w
1354224444,烈,-9ill/\\\
135425111,殂,-9ig-
13542512534,殒,-9ioe8
135425134,殃,-9inq
1354311234,殊,-9i/im
1354312,歼,-9i/+
135431533,殇,-9iav//
135432411121,雄,xOda2f-
13543344521,殍,-9i/\\/z-
13543414431,殓,-9ia-\\/-
135434333,殄,-9ia///
135434333341511534,餮,-9ia///aicw
135434333344511534,餮,-9ia///aicw
13543443521,殍,-9i/\\/z-
135435,死,-9i7
1354352511,殉,-9i9Ob
135443251112,殚,-9i8b+
13544453212134,殡,-9i\nrr-8
13544454,返,\zr4
1354454,返,\zr4
13544554,返,\zr4
135452251541,殛,-9izo4-
135453,死,-9i7
1354533533,翃,xOdcc
135454,迈,\zrv
1354541541,翃,xOdcc
135454251,殆,-9ido
1355132511134,頋,rvvre8
1355132534,顾,rvvre8
13553,劢,rvv/
135534,成,rx\v
13553425221,盛,rx\vnh
13553452,郕,rx\vzl
135534552,郕,rx\vzl
135543,成,rx\v
13554325221,盛,rx\vnh
13554352,郕,rx\vzl
135543552,郕,rx\vzl
14312,平,-+8
1431234,来,im8
14312342534,赉,im8e8
143134,夹,qh
143134132534,颊,qhre8
14313452,郏,qhzl
143134552,郏,qhzl
14334,灭,-q
14334251123435451,鹩,q8bwniv-
14513251225,匾,cOic/nh
145211111111251251135345,靄,-nl44oTb9Ova
145211111154,雲,-nl4iid
1452111111543443454544354,靉,-nl4iid/\\/n/v\\9\
14521111122125113134,霰,-nl4h-gax
14521111122135113134,霰,-nl4h-gax
14521111122135413134,霰,-nl4h-gax
1452111112341234,霖,-nl4mm
14521111123425111,霜,-nl4me
1452111112342511132511154444,鸘,-nl4meniv-T
14521111132522,需,-nl4rnll
14521111132522132511134,顬,-nl4rnllre8
14521111132522132534,颥,-nl4rnllre8
145211111353,雳,-nl4rv/
145211112342511,霄,-nl4wg
145211112343511,霄,-nl4wg
145211112343541,霄,-nl4wg
145211112432511,霄,-nl4wg
145211112433511,霄,-nl4wg
145211112433541,霄,-nl4wg
14521111251115154,霞,-nl4lc--c4
1452111125115,電,-nl4bv
1452111125121,雷,-nl4o+
145211112512511134,霣,-nl4oe8
145211112512512511234341,靈,-nl4ooo--aa
1452111125125125152,酃,-nl4ooozl
14521111251251251552,酃,-nl4ooozl
145211113115,雮,-nl4/-7
14521111312154,霆,-nl4z\/t
145211113121554,霆,-nl4z\/t
1452111132151135,霓,-nl4r-ca
145211113241112132411121,靃,-nl4a2f-a2f-
1452111134435332511121,霾,-nl4/2/q\o+t
145211113453,雰,-nl48vi
145211113535225121,霤,-nl4/v\vio+
1452111135453,雾,-nl49\v/
145211113545325121,霤,-nl4/v\vio+
1452111135515,雹,-nl49Ovc
145211114111251251135345,靄,-nl44oTb9Ova
145211114125152152,霩,-nl4iioz-zl
1452111141251521552,霩,-nl4iioz-zl
145211114134,雯,-nl4iix
14521111413432,霁,-nl4iix/l
145211114135,雱,-nl42p
14521111414313415,霠,-nl4iihaiv
14521111414313445,霠,-nl4iihaiv
1452111141431531,霎,-nl4iihy
145211114153,雱,-nl42p
14521111441122111345,霮,-nl4iiih---v8
14521111441122111355,霮,-nl4iiih---v8
145211114411234,霂,-nl4iiim
145211114411252,霈,-nl4iii-nl
1452111144121251,霑,-nl4iiifo
14521111441251251,霘,-nl4iiin-o
1452111144133443121,霪,-nl4iii/\\//+-
1452111144134433121,霪,-nl4iii/\\//+-
1452111145251135345,霭,-nl44ob9Ova
14521111511,雪,-nl4⿼c-
14521111512115154,霞,-nl4lc--c4
1452111151311234124,霨,-nl4c/2w-\
145211115132514143112,霹,-nl4c/oiih+
1452111152354131121,霳,-nl4zl9\-at
1452111153353332511,霫,-nl4cc/b
1452111154154132511,霫,-nl4cc/b
14521111545233134,霚,-nl4dz/ax
1452111154523313453,霧,-nl4dz/9\v/
145211115452335453,霧,-nl4dz/9\v/
14521111552354131121,霳,-nl4zl9\-at
145241341111251251135345,靄,-nl44oTb9Ova
145241341154,雲,-nl4iid
1452413411543443454544354,靉,-nl4iid/\\/n/v\\9\
14524134122125113134,霰,-nl4h-gax
14524134122135113134,霰,-nl4h-gax
14524134122135413134,霰,-nl4h-gax
1452413412341234,霖,-nl4mm
14524134123425111,霜,-nl4me
1452413412342511132511154444,鸘,-nl4meniv-T
14524134132522,需,-nl4rnll
14524134132522132511134,顬,-nl4rnllre8
145241342342511,霄,-nl4wg
145241342343511,霄,-nl4wg
145241342343541,霄,-nl4wg
145241342432511,霄,-nl4wg
145241342433511,霄,-nl4wg
145241342433541,霄,-nl4wg
14524134251115154,霞,-nl4lc--c4
1452413425115,電,-nl4bv
1452413425121,雷,-nl4o+
145241342512511134,霣,-nl4oe8
145241342512512511234341,靈,-nl4ooo--aa
1452413425125125152,酃,-nl4ooozl
14524134251251251552,酃,-nl4ooozl
145241343115,雮,-nl4/-7
14524134312154,霆,-nl4z\/t
145241343121554,霆,-nl4z\/t
1452413432151135,霓,-nl4r-ca
145241343241112132411121,靃,-nl4a2f-a2f-
1452413434435332511121,霾,-nl4/2/q\o+t
145241343453,雰,-nl48vi
145241343535225121,霤,-nl4/v\vio+
145241343545325121,霤,-nl4/v\vio+
1452413435515,雹,-nl49Ovc
145241344111251251135345,靄,-nl44oTb9Ova
145241344125152152,霩,-nl4iioz-zl
1452413441251521552,霩,-nl4iioz-zl
145241344134,雯,-nl4iix
145241344135,雱,-nl42p
14524134414313415,霠,-nl4iihaiv
14524134414313445,霠,-nl4iihaiv
1452413441431531,霎,-nl4iihy
145241344153,雱,-nl42p
14524134441122111345,霮,-nl4iiih---v8
14524134441122111355,霮,-nl4iiih---v8
145241344411234,霂,-nl4iiim
145241344411252,霈,-nl4iii-nl
1452413444121251,霑,-nl4iiifo
14524134441251251,霘,-nl4iiin-o
1452413444133443121,霪,-nl4iii/\\//+-
1452413444134433121,霪,-nl4iii/\\//+-
14524134511,雪,-nl4⿼c-
14524134512115154,霞,-nl4lc--c4
1452413451311234124,霨,-nl4c/2w-\
145241345132514143112,霹,-nl4c/oiih+
1452413452354131121,霳,-nl4zl9\-at
1452413453353332511,霫,-nl4cc/b
1452413454154132511,霫,-nl4cc/b
14524134545233134,霚,-nl4dz/ax
1452413454523313453,霧,-nl4dz/9\v/
145241345452335453,霧,-nl4dz/9\v/
14524134552354131121,霳,-nl4zl9\-at
145244441111251251135345,靄,-nl44oTb9Ova
145244441154,雲,-nl4iid
1452444411543443454544354,靉,-nl4iid/\\/n/v\\9\
14524444122125113134,霰,-nl4h-gax
14524444122135113134,霰,-nl4h-gax
14524444122135413134,霰,-nl4h-gax
1452444412341234,霖,-nl4mm
14524444123425111,霜,-nl4me
1452444412342511132511154444,鸘,-nl4meniv-T
14524444132522,需,-nl4rnll
14524444132522132511134,顬,-nl4rnllre8
14524444132522132534,颥,-nl4rnllre8
145244441353,雳,-nl4rv/
145244442342511,霄,-nl4wg
145244442343511,霄,-nl4wg
145244442343541,霄,-nl4wg
145244442432511,霄,-nl4wg
145244442433511,霄,-nl4wg
145244442433541,霄,-nl4wg
14524444251115154,霞,-nl4lc--c4
1452444425115,電,-nl4bv
1452444425121,雷,-nl4o+
145244442512511134,霣,-nl4oe8
145244442512512511234341,靈,-nl4ooo--aa
1452444425125125152,酃,-nl4ooozl
14524444251251251552,酃,-nl4ooozl
145244443115,雮,-nl4/-7
14524444312154,霆,-nl4z\/t
145244443121554,霆,-nl4z\/t
1452444432151135,霓,-nl4r-ca
145244443241112132411121,靃,-nl4a2f-a2f-
1452444434435332511121,霾,-nl4/2/q\o+t
145244443453,雰,-nl48vi
145244443535225121,霤,-nl4/v\vio+
1452444435453,雾,-nl49\v/
145244443545325121,霤,-nl4/v\vio+
1452444435515,雹,-nl49Ovc
145244444111251251135345,靄,-nl44oTb9Ova
145244444125152152,霩,-nl4iioz-zl
1452444441251521552,霩,-nl4iioz-zl
145244444134,雯,-nl4iix
14524444413432,霁,-nl4iix/l
145244444135,雱,-nl42p
14524444414313415,霠,-nl4iihaiv
14524444414313445,霠,-nl4iihaiv
1452444441431531,霎,-nl4iihy
145244444153,雱,-nl42p
14524444441122111345,霮,-nl4iiih---v8
14524444441122111355,霮,-nl4iiih---v8
145244444411234,霂,-nl4iiim
145244444411252,霈,-nl4iii-nl
1452444444121251,霑,-nl4iiifo
14524444441251251,霘,-nl4iiin-o
1452444444133443121,霪,-nl4iii/\\//+-
1452444444134433121,霪,-nl4iii/\\//+-
1452444445251135345,霭,-nl44ob9Ova
14524444511,雪,-nl4⿼c-
14524444512115154,霞,-nl4lc--c4
1452444451311234124,霨,-nl4c/2w-\
145244445132514143112,霹,-nl4c/oiih+
1452444452354131121,霳,-nl4zl9\-at
1452444453353332511,霫,-nl4cc/b
1452444454154132511,霫,-nl4cc/b
14524444545233134,霚,-nl4dz/ax
1452444454523313453,霧,-nl4dz/9\v/
145244445452335453,霧,-nl4dz/9\v/
14524444552354131121,霳,-nl4zl9\-at
1454454,忒,-vi/v\\
151,与,v--
15112531,妻,-c+y
1511253132511154444,鶈,-c+yniv-T
1511253152,郪,-c+yzl
15112531552,郪,-c+yzl
1512111341134,辏,-v+iii/\-q
1512111343134,辏,-v+iii/\-q
1512112,轩,-v+-+
1512112154,轼,-v+-vi--
15121154,转,-v+vii\
15121212513534,辕,-v+to/w
15121221115,辄,-v+r3lv
151212251,轱,-v++o
15121251124,辅,-v++\g
151212512,轲,-v+-lo
1512125125121,辐,-v+-oo+
15121253434,辆,-v+-naa
1512134,轪,-v+q
15121355,轭,-v+rvv
1512154121,轾,-v+-dt
151221513,轳,-v+fc/
151225111535,辊,-v+b77
151225111553,辊,-v+b77
1512251122111,辑,-v+or3l
1512251125221,辒,-v+bnh
151225113535,辊,-v+b77
151225115353,辊,-v+b77
151225121,轴,-v+nt
151225132511134,頤,cOlolre8
151225134,轵,-v+o8
151225431415,辋,-v+nhiiv
151231134,轶,-v+/iia
1512313432,轿,-v+/q/l
15123211511134,舆,r2c-v+-8
15123312,斩,-v+rr
15123312121,堑,-v+rrt
151233121234,椠,-v+rrm
151233122511,暂,-v+rrb
1512331234112431,錾,-v+rrajh
1512335414,辀,-v+231ii
1512335441,辀,-v+231ii
1512341121,辁,-v+aj-
1512341251122,输,-v+a-gll
1512341351122,输,-v+a-gll
151234312,轷,-v+/-8
151234333,轸,-v+a///
15123435,轮,-v+a7
15123453,轮,-v+a7
151235,轨,-v+/9
151235234,轹,-v+/vw
15123534,软,-v+9a
1512354251,辂,-v+9\o
151241251234,辌,-v+iiow
1512413434,较,-v+ii8x
151241352211535,辘,-v+\r477
151241352211553,辘,-v+\r477
151241352213535,辘,-v+\r477
151241352215353,辘,-v+\r477
1512415425113134,辙,-v+iidgax
1512415435113134,辙,-v+iidgax
1512431234354152,辚,-v+8m9i+v
15124451112251,辖,-v+\niiilo
15124451121251,辖,-v+\niiilo
15124453112251,辖,-v+\niiilo
15124453121251,辖,-v+\niiilo
1512454,连,\z-v+
15125,轧,-v+v
15125131221534,辗,-v+c/h-v\/
151253,轨,-v+/9
151253251,轺,-v+vio
1512534,轫,-v+vi\
151254121,轻,-v+v\--
15125454,轰,-v+44
151254545454,辍,-v+xO4xO4
1512551551251,辔,vv--v+vv-o
15131344,戾,ic/q\
151321112111,扉,\c/3ll3
1513251,启,\c/o
15132511,肩,ic/g
15132511134,頃,7re8
1513251132511154444,鵳,ic/gniv-T
151325122,扁,ic/nh
1513251224454,遍,\zic/nh
151325122454,遍,\zic/nh
1513251224554,遍,\zic/nh
151325122533533,翩,ic/nhcc
151325122541541,翩,ic/nhcc
15132515215,扈,ic/ov2v
151325251,扃,ic/no
15132534,顷,7re8
151331112111,扉,\c/3ll3
15133134511112,肇,\c/axc-f
15133134554234,綮,\c/ax⿽vdw
151332411121,雇,\c/a2f-
151332411121132511134,顧,\c/a2f-re8
15133312,所,alalc/alal-ol
15133511,肩,ic/g
1513351132511154444,鵳,ic/gniv-T
15133541,肩,ic/g
1513354132511154444,鵳,ic/gniv-T
15134135,房,ic/2p
15134153,房,ic/2p
15134412,戽,\c/⿽-lii
1513533533,扇,ic/cc
1513534,欤,v--9a
1513541541,扇,ic/cc
151532511,皆,77/b
151534,夷,qcv
15153432511154444,鴺,qcvniv-T
1515431234,粊,778m
151545443,毖,77/v\\/
1521111341134,辏,-v+iii/\-q
1521111343134,辏,-v+iii/\-q
1521112,轩,-v+-+
1521112154,轼,-v+-vi--
15211154,转,-v+vii\
15211212513534,辕,-v+to/w
15211221115,辄,-v+r3lv
152112251,轱,-v++o
15211251124,辅,-v++\g
152112512,轲,-v+-lo
1521125125121,辐,-v+-oo+
15211253434,辆,-v+-naa
1521134,轪,-v+q
15211355,轭,-v+rvv
1521154121,轾,-v+-dt
152121513,轳,-v+fc/
1521251,吾,5o
152125111535,辊,-v+b77
152125111553,辊,-v+b77
1521251122111,辑,-v+or3l
1521251125221,辒,-v+bnh
152125113535,辊,-v+b77
152125115353,辊,-v+b77
152125121,轴,-v+nt
152125134,轵,-v+o8
152125431415,辋,-v+nhiiv
152131134,轶,-v+/iia
1521313432,轿,-v+/q/l
15213312,斩,-v+rr
15213312121,堑,-v+rrt
152133121234,椠,-v+rrm
152133122511,暂,-v+rrb
1521331234112431,錾,-v+rrajh
1521335414,辀,-v+231ii
1521335441,辀,-v+231ii
1521341121,辁,-v+aj-
1521341251122,输,-v+a-gll
1521341351122,输,-v+a-gll
152134312,轷,-v+/-8
152134333,轸,-v+a///
15213435,轮,-v+a7
15213453,轮,-v+a7
152135,轨,-v+/9
152135234,轹,-v+/vw
15213534,软,-v+9a
1521354251,辂,-v+9\o
152141251234,辌,-v+iiow
1521413434,较,-v+ii8x
152141352211535,辘,-v+\r477
152141352211553,辘,-v+\r477
152141352213535,辘,-v+\r477
152141352215353,辘,-v+\r477
1521415425113134,辙,-v+iidgax
1521415435113134,辙,-v+iidgax
1521431234354152,辚,-v+8m9i+v
15214451112251,辖,-v+\niiilo
15214451121251,辖,-v+\niiilo
15214453112251,辖,-v+\niiilo
15214453121251,辖,-v+\niiilo
15215131221534,辗,-v+c/h-v\/
152153,轨,-v+/9
152153251,轺,-v+vio
1521534,轫,-v+vi\
152154121,轻,-v+v\--
152154545454,辍,-v+xO4xO4
1523,牙,v-l/
1523211511134,與,r2c-8v-l
15232115111341111251,譽,r2c-8v-l4o
1523211511134112,舉,r2c-8v-l128
15232115111341251112,轝,r2c-8v-l-v+T
152321151113413251,礜,r2c-8v-lro
15232115111344111251,譽,r2c-8v-l4o
152332411121,雅,v-l/a2f-
152332511154444,鴉,v-l/niv-T
152335451,鸦,v-l/niv-
1523435451,鸫,-vwniv-
15234454,迓,\zv-l/
1523454,迓,\zv-l/
15234554,迓,\zv-l/
152352,邪,v-l/zl
1523552,邪,v-l/zl
1525,屯,-uv
152511,旨,7b
1525111534,眞,7ve8
15251132511154444,鴲,7bniv-T
1525132511134,頓,-uvre8
1525132534,顿,-uvre8
15251541,亟,zo4-
152552,邨,-uvzl
1525552,邨,-uvzl
153,万,rv
1531134511112,肄,7aqc-f
15311345452134,疑,7aqdvfa
153135,尧,/-v-a
153135541541,翘,/-v-acc
1532512134,趸,rvofa
153251214,虿,rvod
1533211511134,與,r2c-8v-l
15332115111341111251,譽,r2c-8v-l4o
1533211511134112,舉,r2c-8v-l128
15332115111341251112,轝,r2c-8v-l-v+T
153321151113413251,礜,r2c-8v-lro
15332115111344111251,譽,r2c-8v-l4o
1534153425221,盞,-x\-x\nh
153422,划,-x\ll
153454,迈,\zrv
153512,毕,77+
1535135435,毙,77-9i7
1535135453,毙,77-9i7
153515352511251214251214,蠶,kDkDbodod
15353,劢,rvv/
153532511,皆,77/b
1535431234,粊,778m
153545443,毖,77/v\\/
154121,至,-dt
1541211113431234,臻,-dtiii/\/m
154121132521,臶,-dtxOlz-
15412122,到,-dtll
1541213134,致,-dtax
15412132511154444,鵄,-dtniv-T
154121354,致,-dtax
15412152,郅,-dtzl
154121552,郅,-dtzl
15412211,甙,-vih--
154132,弃,-dh
15413452,函,u-v88
1542511,育,iidg
1542511134,貣,-vie8
1543154325221,盞,-x\-x\nh
154322,划,-x\ll
15432511154444,鳶,-viniv-T
15435,充,-da
1543511,育,iidg
1543541,育,iidg
15435451,鸢,-viniv-
154541251152,鄑,-4-bzl
1545412511552,鄑,-4-bzl
1551,互,-vv-
155312,毕,77+
1553135435,毙,77-9i7
1553135453,毙,77-9i7
155332511,皆,77/b
1553431234,粊,778m
155345443,毖,77/v\\/
211,上,f-
21111534,長,l-iiiv\/
211115431134,镻,liii-d/iia
2111154333121251,髻,r3d3+-o
21111543331213152511,鬐,r3d3/t7b
21111543331213352511,鬐,r3d3/t7b
21111543331213532511,鬐,r3d3/t7b
21111543331234,髤,r3d3m
211115433312343454,鬆,r3d3m8d
211115433313344,髮,r3d3xO4\
2111154333135,髡,r3d3-a
21111543331354,髪,r3d3xO4
211115433313544,髮,r3d3xO4\
2111154333212115,髭,r3d3f27
2111154333212135,髭,r3d3f27
2111154333212153,髭,r3d3f27
211115433321515,髭,r3d3f27
211115433321535,髭,r3d3f27
211115433321553,髭,r3d3f27
21111543332511,髥,r3d3nii
211115433325112522154,鬘,r3d3bnh4
211115433325113533,鬄,r3d3b9O//
211115433325121,髯,r3d3nt
21111543332522112513234,鬟,r3d3nh--o/w
21111543332522112513534,鬟,r3d3nh--o/w
21111543333115,髦,r3d3/-7
2111154333312344334,鬏,r3d3/mq
21111543333212134,鬂,r3d3rr-8
2111154333321234,髹,r3d3am
21111543333315112234,鬑,r3d3hch8
2111154333333132511134,鬚,r3d3///re8
211115433334113455,鬈,r3d38iiavv
2111154333342524312511,鬙,r3d38247
21111543333434121,髽,r3d3taa
2111154333345234354,鬉,r3d3ux89\
2111154333345235354,鬉,r3d3ux89\
211115433335113511,鬅,r3d3gg
211115433335254,髲,r3d3rlx
21111543333541112,髼,r3d39\iiil
211115433335443544,鬅,r3d3gg
21111543334135,髣,r3d32p
21111543334153,髣,r3d32p
211115433343113455,鬈,r3d38iiavv
2111154333431251122,鬋,r3d3hgll
2111154333431254422,鬋,r3d3hgll
2111154333431351122,鬋,r3d3hgll
2111154333431354422,鬋,r3d3hgll
21111543334315112234,鬑,r3d3hch8
2111154333432524312511,鬙,r3d38247
21111543334351523,鬀,r3d38cvl/
21111543334412343,髿,r3d3iiil8 or /l\/
211115433344511234,鬃,r3d3\n2w
211115433344512332511134,鬢,r3d3\n-/l/e8
21111543334453212134,鬓,r3d3\nrr-8
21111543334535,髧,r3d3n/v
211115433351532,髴,r3d3/lcv
211115433353251,髫,r3d3vio
211115433353254,髲,r3d3rlx
211115433354523,髳,r3d3dz/
211115433354545434333,鬖,r3d3ddda///
2111154511112,肆,liii-dc-f
211121111,韭,3ll3-
211121111251112,輩,3ll3-v+T
211121111512,辈,3ll3-v+
21112111251214,蜚,3ll3od
211121112521251431,豐,luiiiliiil-oh
