strokes,token,character,token
l_jl_,.164,疒,.\r2
l_jv,.159,方,.2p
l_jvii_vjvj,.248,鹿,.\r477
livS,.112,门,.in,ø
ljV,.29,丷,.8
lj_V,.136,䒑,,V
ljjl,.47,火,.qB
ll,.27,⺀,.ii
ll_A,.34,氵,.iii
lliA,.169,忄,./v\\A
lljV,.38,𭕄,.\\/V
lv,.177,辶,.\z
lv_j,.84,戶,.ic/
lvil,.184,示,.2w
lvilA,.185,礻,.2wA
v?,.23,㇡,.v
v_,.123,コ,.c
v_X,.216,ユ,.c
v__,.68,⺕,.c_
v____i,.165,聿,.c_f
v__lji8S,.246,肃,.c+8/l
v__vjl,.151,艮,.c_w
v_j,.83,尸,.c/
vi,.214,卩,.vl
vi,.67,凵,.u
viX,.87,了,.z
vi_j,.76,爿,.kB
vj,.86,刀,.vi
vjX,.85,力,.v/
vj_,.69,女,.y
vjivl,.236,皮,.rlx
vjl,.220,刃,.vi\
vjlT,.170,飛,.v2T
vl,.125,厶,.d
vl,.215,ス,.v\
vlA,.173,廴,.z\
vlV,.dV,龴,.124,V
vlX,.103,又,.'4
vl_i_,.264,𢀖,.v\_l_
vlivli,.190,羽,.cc
vljjlV,.94,癶,.v\//\
vv_S,.198,马,.vv_S
vv_T,.197,馬,.vv_T
vv_i,.223,毋,.vv+
vvi,.213,阝,.zl
vvl_l,.222,母,.vv3
vvljllA,.189,糹,.vd3T
vvljllAS,.261,纟,.vd3
x,.101,乂,.x
xX,.102,㐅,.x
