strokes,count,token,character,encoding,decomposable
j-ij-i,0098,205,竹,flfl,maybe
j-ij-iV,0734,204,𥫗,flflV,
j-ij-iiv---,0006,149,𥬥,/-ij-iiv3,
jV-i,0390,108,⺆,nX,
jV-i-,0314,111,几,/V-i-,
jV-j,0766,107,勹,9,
jV-jV,1161,105,⺈,9V,
jV-l,0254,110,𠘨,/V-l,
jVi-,0510,51,匕,/Vi-,
jVi-V,1282,64,儿,8X,
jX,0028,6,㇒,/X,
ji--v--,0124,207,𦥑,aA--v--,
ji-v,0082,75,片,/i-v,
ji-v--,0390,206,臼,aA-v--,maybe
jiA,1488,89,亻,aA,
jil,0028,35,𫶧,wX,maybe
jil---i-,0739,192,隹,aA=j-,
jiv---j,0073,208,身,/e/,maybe
jiv-xjvjvl,0008,243,𡕩,/iv-xjvjvl,
jj,0344,80,𠂆,//,false
jj-i,0306,249,斤,//-i,maybe
jji-ll,0104,227,瓜,//d\,true
jjj,0285,32,彡,/3,
jjv--,0314,231,𠔾,/g,true
jl,0104,93,入,/\,
jlljvjjA,0108,74,豸,/\\/v//A,
jlllV,0677,43,灬,w\V,
jv--,1630,115,月,g,maybe
jv--A,0261,116,⺝,gA,
jv--ijl,0003,242,𥘈,/vj/\,
jv-v,0120,187,氏,/v-v,
jvaa,0027,117,肉,/vaa,true
jviv-i--T,0710,196,魚,9u-T,
jviv-i--S,0254,195,鱼,9u-S,
jviv-jv,0124,245,免,9o8X,
jvjjjl,0072,73,𧰨,/v3l,
jvjlV,0319,143,𧘇,/vaV,true
jvl,0654,54,夕,9\,
jvlX,0616,56,夂,9\X,
jvlXX,0059,57,夊,9\XX,
jvll,0759,168,心,8X\\,
jvllA,0145,118,⺼,gA,
jvlv-S,0194,199,鸟,/vlv-S,maybe
jvlv-T,0493,200,鳥,/vlv-T,
jvvi-v,0034,240,色,9vl-v,true
jvvl,0066,232,及,/v4,true
jvvlA,0368,152,殳,/v4A,true
jvvljv--,0003,150,𦙍,/vdg,true
l,5276,7,丶,\,false
l-A,0810,28,冫,=A,
l-V,2279,50,亠,=V,false
l-jl-,0568,164,疒,=/=,
l-jv,0592,159,方,=/v,
l-jvii-vjvj,0226,248,鹿,lrvii-vjvj,true
lX,0595,8,乀,\X,
lXX,0423,9,㇏,\XX,
livS,112,门,\n,maybe,
lj-V,136,䒑,h,false,
ljV,1971,29,丷,8V,false
ljjl,0931,47,火,8a,
ll,0912,27,⺀,\\,
ll-A,1668,34,氵,3A,true
lljV,0484,38,𭕄,wV,
lv,0948,177,辶,\v,
lv-j,0132,84,戶,\cj,
lvil,0256,184,示,/vl\,
lvilA,0257,185,礻,/vl\A,
v-,1978,123,コ,c,false
v--,0143,68,⺕,c-,
v----i,0098,165,聿,c3l,true
v--lji8S,0014,246,肃,c+/l8S,
v--vjl,0188,151,艮,c-va,
v-X,0082,216,ユ,cX,
v-j,0643,83,尸,cj,
v?,0133,23,㇡,v?,
vi,1105,67,凵,u,
vi-j,0192,76,爿,vlr,
viA,0140,214,卩,vlA,
viX,0590,87,了,vlX,
viXX,0256,88,𠄐,vlXX,
vj,0463,86,刀,vj,false
vj-,0497,69,女,vj-,
vjX,0470,85,力,v/X,false
vjii-,0032,260,丱,vjii-,maybe
vjivl,0178,236,皮,vji4,
vjl,0100,220,刃,vjl,true
vjlT,0022,170,飛,vaT,
vl,0033,215,ス,vl,
vl,1900,125,厶,d,false
vl-i-,0034,264,𢀖,vl-i-,
vlA,0174,173,廴,4A,
vlV,-000,124,龴,dV,false
vlX,1296,103,又,4,
vlivli,0584,190,羽,vlivli,
vljil,0040,228,𠫝,vljil,
vljjlV,0168,94,癶,vljaV,
vv-T,0399,197,馬,vv-T,
vv-i,0003,223,毋,vv+,
vv-S,0150,198,马,vv-S,
vvi,0830,213,阝,vvi,
vvl-l,0099,222,母,vvl-l,true
vvljllA,0776,189,糹,vdwAT,true
vvljllAS,0351,261,纟,vdwAS,maybe
vvlvvl,0182,226,𢆶,vvlvvl,
x,1008,101,乂,x,false
xX,0505,102,㐅,xX,false
|,25972,904,⿱,|,false
||,1383,905,⿳,||,false
vvl,-000,265,幺,vd,true
jvv--,-000,266,刍,9c-,true
