strokes,character,decomposition,pinyin_readings,freq_rank,count,encoding,composition,retokenized
--,二,No steps,er4,157.0,267506.0,.=,,
----,亖,亖 → 二二,,,,,,
----iv-,言,No steps,yan2,355.0,120308.0,.4o,,
----iv-,訁,No steps,,,,.4oAT,,
----iv-----iv-,誩,誩 → 訁言,,,,,,
----iv-----iv-----iv-,譶,譶 → 言誩 | 誩 → 訁言,,,,,,
----iv----i---iv--lvll,譿,譿 → 訁慧 | 慧 → 彗心 | 彗 → 丰丰𫜹 | 丰 → 三丨 | 丰 → 三丨 | 𫜹 → コ一,,,,,,
----iv----i-v,誆,誆 → 訁匡 | 匡 → 匚王,,,,,,
----iv---i,訏,訏 → ⿰訁于,xu3,8481.0,2.0,._.4oAT.jX,⿰訁于,._.4oAT.jX
----iv---i,訐,訐 → ⿰訁干,ji4,8983.0,1.0,._.4oAT.j,⿰訁干,._.4oAT.j
----iv---i-iv---jl,謮,謮 → 訁責 | 責 → 龶貝 | 貝 → 目八,,,,,,
----iv---i-jvjl,諘,諘 → ⿰訁表 | 表 → ⿱龶𧘇,biao3,9549.0,1.0,._.4oAT.|.j-V.yaV,⿰訁⿱龶𧘇,._.4oAT.|.j-V.yaV
----iv---i-vl,試,試 → ⿰訁式 | 式 → ⿹弋工,shi4,6385.0,35.0,._.4oAT.).7\.r-,⿰訁⿹弋工,._.4oAT.).7\.r-
----iv---i-vvlijl,䛾,䛾 → 訁素 | 素 → 龶糸 | 糸 → 幺小 | 幺 → 𠃋厶,,,,,,
----iv---ii-iv-i-,講,講 → ⿰訁冓 | 冓 → ⿱𠀎冉 | 𠀎 → ⿱井一 | 井 → ⿻一廾 | 冉 → ⿻冂土,jiang3,7283.0,8.0,._.4oAT.|.|.).-.hX.-.).n.t,⿰訁⿱⿱⿻一廾一⿻冂土,._.4oAT.|.|.).-.hX.-.).n.t
----iv---j--i,詽,詽 → 訁幵 | 幵 → 干干,,,,,,
----iv---ji,訮,訮 → ⿰訁开 | 开 → ⿱一廾,yan2,9543.0,1.0,._.4oAT.|.-.hX,⿰訁⿱一廾,._.4oAT.|.-.hX
----iv---jl,䚶,䚶 → 訁天 | 天 → 一大,,,,,,
----iv---jl--jliv--,譛,譛 → 訁替 | 替 → 㚘曰 | 㚘 → 夫夫 | 夫 → 二人 | 夫 → 二人 | 曰 → 囗一,,,,,,
----iv---jl--jliv---jl,讃,讃 → 訁賛 | 賛 → 㚘貝 | 㚘 → 夫夫 | 夫 → 二人 | 夫 → 二人 | 貝 → 目八,,,,,,
----iv---jv,䛃,䛃 → 訁元 | 元 → 一兀 | 兀 → 一儿,,,,,,
----iv--i,訂,訂 → ⿰訁丁 | 丁 → ⿱一亅,ding4,7313.0,7.0,._.4oAT.|.-.lX,⿰訁⿱一亅,._.4oAT.|.-.lX
----iv--i,計,計 → ⿰訁十,ji4,6238.0,44.0,._.4oAT.0,⿰訁十,._.4oAT.0
----iv--i-,訌,訌 → ⿰訁工,hong4,7879.0,4.0,._.4oAT.r-,⿰訁工,._.4oAT.r-
----iv--i--i-,詿,詿 → ⿰訁圭 | 圭 → ⿱土土,gua4,7881.0,4.0,._.4oAT.|.t.t,⿰訁⿱土土,._.4oAT.|.t.t
----iv--i--i--i--jv,譊,譊 → 訁堯 | 堯 → 垚兀 | 垚 → 土土土 | 兀 → 一儿,,,,,,
----iv--i--il,詩,詩 → ⿰訁寺 | 寺 → ⿱土寸 | 寸 → ⿹𬺰丶,shi1,7619.0,5.0,._.4oAT.|.t.).0X.\,⿰訁⿱土⿹𬺰丶,._.4oAT.|.t.).0X.\
----iv--i-i-,証,証 → ⿰訁正 | 正 → ⿱一止,zheng4,9544.0,1.0,._.4oAT.|.-.ff,⿰訁⿱一止,._.4oAT.|.-.ff
----iv--i-iv-,詰,詰 → ⿰訁吉 | 吉 → ⿱士口 | 士 → ⿱十一,jie2,8652.0,2.0,._.4oAT.|.|.0.-.o,⿰訁⿱⿱十一口,._.4oAT.|.|.0.-.o
----iv--i-iv-lj-iv-,譆,譆 → 訁喜 | 喜 → 壴口 | 壴 → 十豆 | 豆 → 𠮛䒑 | 𠮛 → 一口,,,,,,
----iv--i-jvi-,誟,誟 → 訁孝 | 孝 → 耂子 | 耂 → 丿土 | 子 → 了一 | 了 → 乛亅,,,,,,
----iv--i-lj--i,䛭,䛭 → 訁幸 | 幸 → 土𢆉 | 𢆉 → 丷干,,,,,,
----iv--i-lvjv,読,読 → 訁売 | 売 → 士冖儿 | 士 → 十一,,,,,,
----iv--i-lvll,誌,誌 → ⿰訁志 | 志 → ⿱士心 | 士 → ⿱十一,zhi4,6823.0,16.0,._.4oAT.|.|.0.-.w,⿰訁⿱⿱十一心,._.4oAT.|.|.0.-.w
----iv--i-v-i--iv--il,譸,譸 → ⿰訁壽 | 壽 → ⿳⿳士乛工一吋 | 士 → ⿱十一 | 吋 → ⿰口寸 | 寸 → ⿹𬺰丶,zhou1,9143.0,1.0,._.4oAT.||.||.|.0.-.V-.r-.-._.o.).0X.\,⿰訁⿳⿳⿱十一乛工一⿰口⿹𬺰丶,._.4oAT.||.||.|.0.-.V-.r-.-._.o.).0X.\
----iv--i-vl,詓,詓 → 訁去 | 去 → 土厶,,,,,,
----iv--i-vv-i-,䛩,䛩 → 訁亞 | 亞 → 二丨一𠃑𠃑一丨,,,,,,
----iv--i-vv-i-lvll,䜑,䜑 → 訁惡 | 惡 → 亞心 | 亞 → 二丨一𠃑𠃑一丨,,,,,,
----iv--ii--,詌,詌 → 訁甘 | 甘 → 廿一 | 廿 → 卄一,,,,,,
----iv--ii---,誀,誀 → 訁耳,,,,,,
----iv--ii----ii----ii---,讘,讘 → 訁聶 | 聶 → 耳聑 | 聑 → 耳耳,,,,,,
----iv--ii---ijl,謀,謀 → ⿰訁某 | 某 → ⿱甘木 | 甘 → ⿻廿一 | 廿 → ⿵卄一,mou2,9552.0,1.0,._.4oAT.|.).).h.-.-.m,⿰訁⿱⿻⿵卄一一木,._.4oAT.|.).).h.-.-.m
----iv--ii---jl,諆,諆 → ⿰訁其 | 其 → ⿴共𠄠 | 共 → ⿱龷八 | 龷 → ⿱艹一 | 𠄠 → ⿱一一,qi1,8056.0,3.0,._.4oAT.).|.|.hV.-.8.|.-.-,⿰訁⿴⿱⿱艹一八⿱一一,._.4oAT.).|.|.hV.-.8.|.-.-
----iv--ii---vl,諏,諏 → ⿰訁取 | 取 → ⿰耳又,zhou1,8655.0,2.0,._.4oAT._.r3l.4,⿰訁⿰耳又,._.4oAT._.r3l.4
----iv--ii-iv--,諎,諎 → 訁昔 | 昔 → 龷日 | 龷 → 艹一,,,,,,
----iv--ii-iv---i-,謹,謹 → ⿰訁堇 | 堇 → ⿱廿⿻口龶 | 廿 → ⿵卄一,jin3,6873.0,15.0,._.4oAT.|.).h.-.).o.j-V,⿰訁⿱⿵卄一⿻口龶,._.4oAT.|.).h.-.).o.j-V
----iv--ii-iv--i,諽,諽 → 訁革 | 革 → 廿中一 | 廿 → 卄一 | 中 → 口丨,,,,,,
----iv--ii-jl,鿁,鿁 → 訁共 | 共 → 龷八 | 龷 → 艹一,,,,,,
----iv--ii-v,詍,詍 → 訁世 | 世 → 廿𠃊 | 廿 → 卄一,,,,,,
----iv--ii-v-ijl,諜,諜 → 訁枼 | 枼 → 世木 | 世 → 廿𠃊 | 廿 → 卄一,,,,,,
----iv--iiv-,詁,詁 → 訁古 | 古 → 十口,,,,,,
----iv--ijl-ijl,諃,諃 → 訁林 | 林 → 木木,,,,,,
----iv--ijljl-,誣,誣 → 訁巫 | 巫 → 工从 | 从 → 人人,,,,,,
----iv--ijljlil-jl,䜉,䜉 → 訁桼 | 桼 → 木𠆢氺,,,,,,
----iv--ijljljl,誺,誺 → 訁來 | 來 → 木从 | 从 → 人人,,,,,,
----iv--il,討,討 → ⿰訁寸 | 寸 → ⿹𬺰丶,tao3,6547.0,27.0,._.4oAT.).0X.\,⿰訁⿹𬺰丶,._.4oAT.).0X.\
----iv--ilvvi-,誖,誖 → ⿰訁孛 | 孛 → ⿱⿱十冖子 | 子 → ⿻了一,bei4,7061.0,11.0,._.4oAT.|.|.0.nV.).vlX.-,⿰訁⿱⿱十冖⿻了一,._.4oAT.|.|.0.nV.).vlX.-
----iv--iv--i-llvll,譓,譓 → ⿰訁惠 | 惠 → ⿳⿻一申⿰㇀丶心,hui4,7982.0,3.0,._.4oAT.||.).-.blX._.-.\.w,⿰訁⿳⿻一申⿰㇀丶心,._.4oAT.||.).-.blX._.-.\.w
----iv--iv--ijl,諌,諌 → 訁東 | 東 → 木日,,,,,,
----iv--iv--il,誧,誧 → 訁甫 | 甫 → 十丶月,,,,,,
----iv--iv-i,訶,訶 → 訁可 | 可 → 丁口 | 丁 → 一亅,,,,,,
----iv--iv-i-iv-i,謌,謌 → 訁哥 | 哥 → 丅口可 | 丅 → 一丨 | 可 → 丁口 | 丁 → 一亅,,,,,,
----iv--iv-ii-iv--,䜊,䜊 → 訁曹 | 曹 → 一曲曰 | 曲 → 曰丨丨 | 曰 → 囗一 | 曰 → 囗一,,,,,,
----iv--iv-ijl,誎,誎 → 訁束 | 束 → 木口,,,,,,
----iv--iv-iv-i-,諨,諨 → 訁畐 | 畐 → 𠮛田 | 𠮛 → 一口,,,,,,
----iv--iv-iv-iv-v,謳,謳 → 訁區 | 區 → 匚品 | 品 → 口吅 | 吅 → 口口,,,,,,
----iv--iv-lj-,䛠,䛠 → 訁豆 | 豆 → 𠮛䒑 | 𠮛 → 一口,,,,,,
----iv--ivii---ijl,謤,謤 → 訁票 | 票 → 覀示 | 覀 → 一口丨丨,,,,,,
----iv--ivii-iv---i,譚,譚 → 訁覃 | 覃 → 覀早 | 覀 → 一口丨丨 | 早 → 日十,,,,,,
----iv--ivii-iv---jl,䜖,䜖 → 訁賈 | 賈 → 覀貝 | 覀 → 一口丨丨 | 貝 → 目八,,,,,,
----iv--ivl,䚳,䚳 → 訁支 | 支 → 十又,,,,,,
----iv--ivlj-ijl,諫,諫 → 訁柬 | 柬 → 束丷 | 束 → 木口,,,,,,
----iv--j--vjl,誫,誫 → 訁辰 | 辰 → 厂二𠄌乀丿,,,,,,
----iv--j-vij,𧧝,𧧝 → 訁厊 | 厊 → 厂牙 | 牙 → 𠃋丁丿 | 丁 → 一亅,,,,,,
----iv--jiv--lvlvlljvl,䜡,䜡 → 訁憂 | 憂 → 㥑夂 | 㥑 → 丆⺝冖心,,,,,,
----iv--jj-i--,𧨊,𧨊 → 訁厏 | 厏 → 厂乍 | 乍 → 𠂉丨二,,,,,,
----iv--jj-ijlj-ijli-i-,讈,讈 → ⿰訁歷 | 歷 → ⿸厤止 | 厤 → ⿸厂秝 | 秝 → ⿰禾禾 | 禾 → ⿱丿木 | 禾 → ⿱丿木,li4,8541.0,2.0,._.4oAT.).).r._.|./.m.|./.m.ff,⿰訁⿸⿸厂⿰⿱丿木⿱丿木止,._.4oAT.).).r._.|./.m.|./.m.ff
----iv--jjiv--ijl,謜,謜 → 訁原 | 原 → 厂白小 | 白 → 丿日,,,,,,
----iv--jl--v,誇,誇 → ⿰訁夸 | 夸 → ⿱大亏 | 亏 → ⿱一丂 | 丂 → ⿱一㇉,kua1,8901.0,1.0,._.4oAT.|.q.|.-.|.-.Vl-l,⿰訁⿱大⿱一⿱一㇉,._.4oAT.|.q.|.-.|.-.Vl-l
----iv--jl-iv-i,䛴,䛴 → 訁奇 | 奇 → 大可 | 可 → 丁口 | 丁 → 一亅,,,,,,
----iv--jliv--v,䛳,䛳 → 訁奄 | 奄 → 大电 | 电 → 日乚,,,,,,
----iv--jljjl,詼,詼 → ⿰訁灰 | 灰 → ⿸𠂇火,hui1,7676.0,5.0,._.4oAT.).rX.8a,⿰訁⿸𠂇火,._.4oAT.).rX.8a
----iv--jljljl,䛟,䛟 → 訁夾 | 夾 → 大从 | 从 → 人人,,,,,,
----iv--jvjjljl,諑,諑 → ⿰訁豖 | 豖 → ⿻豕丶,zhuo2,8989.0,1.0,._.4oAT.).rv//a.\,⿰訁⿻豕丶,._.4oAT.).rv//a.\
----iv--jvl,訧,訧 → 訁尤 | 尤 → 尢丶,,,,,,
----iv--jvv,𧦠,-4口厂55,,,,,,
----iv--v--i-jl,誱,誱 → 訁疌 | 疌 → 一⺕龰,,,,,,
----iv--v-v,詎,詎 → 訁巨 | 巨 → 工コ,,,,,,
----iv--vij,訝,訝 → ⿰訁牙 | 牙 → ⿹⿻𠃋丁丿 | 丁 → ⿱一亅,ya4,8053.0,3.0,._.4oAT.).).Vj-.|.-.lX./,⿰訁⿹⿻𠃋⿱一亅丿,._.4oAT.).).Vj-.|.-.lX./
----iv--vjv-vjviv--,譖,譖 → 訁朁 | 朁 → 兓曰 | 兓 → 兂兂  | 曰 → 囗一,,,,,,
----iv--vl-i-,誈,誈 → 訁至 | 至 → 𠫔土 | 𠫔 → 一厶,,,,,,
----iv--vvv-i-,誙,-4口-3工,,,,,,
----iv-i--ijlvl,諔,諔 → 訁叔 | 叔 → 尗又 | 尗 → 上小 | 上 → ⺊一,,,,,,
----iv-i-i-,訨,訨 → 訁止,,,,,,
----iv-i-iv-,詀,詀 → 訁占 | 占 →  /,zhan1,9820.0,1.0,,,
----iv-i-vj-v-v-,謔,謔 → 訁虐 | 虐 → 虍𰀂 | 虍 → ⺊乛丿七 | 𰀂 → ⺕,,,,,,
----iv-i-vj-viv---,謯,謯 → 訁虘 | 虘 → 虍且 | 虍 → ⺊乛丿七 | 且 → ⺝一,,,,,,
----iv-i-vj-vjlj-i,謼,謼 → 訁虖 | 虖 → 虍乎 | 虍 → ⺊乛丿七 | 乎 → 𠂌丷 | 𠂌 → 丿𬺰 | 𬺰 → 一亅,,,,,,
----iv-i-vj-vjv,諕,諕 → 訁虎 | 虎 → 虍儿 | 虍 → ⺊乛丿七,,,,,,
----iv-ii,䚯,䚯 → 訁刂 | 刂 → 丨亅,,,,,,
----iv-iilj-lj--i--il,譵,譵 → 訁對 | 對 → 业𦍌寸 | 业 → 䒑丨丨 | 𦍌 → 䒑土 | 寸 → 𬺰丶 | 𬺰 → 一亅,,,,,,
----iv-ijl,䚱,䚱 → 訁小,,,,,,
----iv-ijlj,訬,訬 → 訁少 | 少 → 𡭔丿 | 𡭔 → 丨八,,,,,,
----iv-il,訃,訃 → ⿰訁卜,fu4,8157.0,3.0,._.4oAT.f,⿰訁卜,._.4oAT.f
----iv-iljlviv-iv-i-,譡,譡 → 訁當 | 當 → 𫩠田 | 𫩠 → 龸口 | 龸 → 小冖,,,,,,
----iv-iljlviv-ivlj--i-llll,讜,讜 → ⿰訁黨 | 黨 → ⿱𫩠黑 | 𫩠 → ⿱龸口 | 龸 → ⿱⺌冖,dang3,9144.0,1.0,._.4oAT.|.|.|.wXX.nV.o.nh3\,⿰訁⿱⿱⿱⺌冖口黑,._.4oAT.|.|.|.wXX.nV.o.nh3\
----iv-iv--,䛁,䛁 → 訁冄 | 冄 → 冂二,,,,,,
----iv-iv---,詚,詚 → 訁旦 | 旦 → 日一,,,,,,
----iv-iv---,詛,詛 → ⿰訁且 | 且 → ⿱⺝一,zu3,9370.0,1.0,._.4oAT.|.gA.-,⿰訁⿱⺝一,._.4oAT.|.gA.-
----iv-iv----i,䛞,䛞 → 訁旱 | 旱 → 日干,,,,,,
----iv-iv---i-jl,諟,諟 → 訁是 | 是 → 旦龰 | 𤴓 → 一龰 | 旦 → 日一,,,,,,
----iv-iv---ijl,課,課 → ⿰訁果 | 果 → ⿻日木,ke4,7010.0,12.0,._.4oAT.).b.m,⿰訁⿻日木,._.4oAT.).b.m
----iv-iv---jv,誢,誢 → 訁見 | 見 → 目儿,,,,,,
----iv-iv---jvjj,諹,諹 → ⿰訁昜 | 昜 → ⿱旦勿 | 旦 → ⿱日一 | 勿 → ⿹勹⿰丿丿,yang2,7060.0,11.0,._.4oAT.|.|.b.-.).9._././,⿰訁⿱⿱日一⿹勹⿰丿丿,._.4oAT.|.|.b.-.).9._././
----iv-iv--i,䛅,䛅 → 訁甲 | 甲 → 日丨,,,,,,
----iv-iv--i,訷,訷 → 訁申 | 申 → 日丨,,,,,,
----iv-iv--ii---,諿,諿 → 訁咠 | 咠 → 口耳,,,,,,
----iv-iv--iv--,誯,誯 → 訁昌 | 昌 → 日曰 | 曰 → 囗一,,,,,,
----iv-iv--iv---ivlj-ijl,讕,讕 → ⿰訁闌 | 闌 → ⿵門柬 | 柬 → ⿻束丷 | 束 → ⿻木口,lan2,7512.0,6.0,._.4oAT.).\nT.).).m.o.8V,⿰訁⿵門⿻⿻木口丷,._.4oAT.).\nT.).).m.o.8V
----iv-iv--iv--jv--,譋,譋 → 訁閒 | 閒 → 門月,,,,,,
----iv-iv--iv--jvji-v--,讇,讇 → 訁閻 | 閻 → 門臽 | 臽 → ⺈臼 | 臼 → 丨丿一𠃍一一,,,,,,
----iv-iv--iv-ivj-,謱,謱 → ⿰訁婁 | 婁 → ⿱⿻⿻口一中女 | 中 → ⿻口丨,lou2,7761.0,4.0,._.4oAT.|.).).o.-.).o.l./j-,⿰訁⿱⿻⿻口一⿻口丨女,._.4oAT.|.).).o.-.).o.l./j-
----iv-iv--ivii-vl,謾,謾 → 訁曼 | 曼 → 曰罒又 | 曰 → 囗一,,,,,,
----iv-iv--j--i-,謃,謃 → 訁星 | 星 → 日生 | 生 → 𠂉土,,,,,,
----iv-iv--jl,䛕,䛕 → 言日乂,,,,,,
----iv-iv--jvjlv,謁,謁 → 訁曷 | 曷 → 曰匃 | 曰 → 囗一 | 匃 → 勹亾 | 亾 → 𠃊人,,,,,,
----iv-iv--vj,䛖,䛖 → 訁曳,,,,,,
----iv-iv--vvlvvlllll,䜙,䜙 → 訁㬎 | 㬎 → 日𢇁 | 𢇁 → 𢆶灬 | 𢆶 → 幺幺 | 幺 → 𠃋厶 | 幺 → 𠃋厶,,,,,,
----iv-iv-i,訲,訲 → 訁中 | 中 → 口丨,,,,,,
----iv-iv-i-,䛆,䛆 → 訁由 | 由 → 日丨,,,,,,
----iv-iv-i--v,䛣,䛣 → 訁甹 | 甹 → 由丂 | 由 → 日丨 | 丂 → 一㇉,,,,,,
----iv-iv-i-iv---jl,䜋,䜋 → 訁貴 | 貴 → 𠀐貝 | 𠀐 → 中一 | 中 → 口丨 | 貝 → 目八,,,,,,
----iv-iv-i-iv-i-iv-i-,讄,讄 → 訁畾 | 畾 → 田田田,,,,,,
----iv-iv-i-jl,䛤,䛤 → 訁足 | 足 → 口龰,,,,,,
----iv-iv-i-jlji,䛺,䛺 → 訁界 | 界 → 田介 | 介 → 人丿丨,,,,,,
----iv-iv-i-lvll,諰,諰 → 訁思 | 思 → 田心,,,,,,
----iv-iv-ii--j--vjl,譨,譨 → 訁農 | 農 → 曲辰 | 曲 → 曰丨丨 | 曰 → 囗一 | 辰 → 厂二𠄌乀丿,,,,,,
----iv-iv-ilvll,䛱,䛱 → 訁忠 | 忠 → 中心 | 中 → 口丨,,,,,,
----iv-iv-iv-,詷,詷 → ⿰訁同 | 同 → ⿵冂𠮛 | 𠮛 → ⿱一口,dong4,9545.0,1.0,._.4oAT.).n.|.-.o,⿰訁⿵冂⿱一口,._.4oAT.).n.|.-.o
----iv-iv-iv---v,諤,諤 → 訁咢 | 咢 → 吅亏 | 吅 → 口口 | 亏 → 一丂 | 丂 → 一㇉,,,,,,
----iv-iv-iv-iv---i,譂,譂 → 訁單 | 單 → 吅日十 | 吅 → 口口,,,,,,
----iv-iv-iv-iv--ijl,譟,譟 → ⿰訁喿 | 喿 → ⿱品木 | 品 → ⿱口吅 | 吅 → ⿰口口,zao4,7709.0,5.0,._.4oAT.|.|.o._.o.o.m,⿰訁⿱⿱口⿰口口木,._.4oAT.|.|.o._.o.o.m
----iv-iv-jl,䛊,䛊 → 訁只 | 只 → 口八,,,,,,
----iv-iv-jl,詇,詇 → ⿰訁央 | 央 → ⿻冂大,yang4,9274.0,1.0,._.4oAT.).n.q,⿰訁⿻冂大,._.4oAT.).n.q
----iv-iv-jv,詋,詋 → 訁兄 | 兄 → 口儿,,,,,,
----iv-ivi,訕,訕 → ⿰訁山,shan4,8052.0,3.0,._.4oAT.lu,⿰訁山,._.4oAT.lu
----iv-ivi-jivii,諯,諯 → 訁耑 | 耑 → 山而 | 山 → 凵丨 | 而 → 一𦓐 | 𦓐 → 丿𦉫 | 𦉫 → 冂丨丨,,,,,,
----iv-ivii--i-lj--i,譯,譯 → ⿰訁睪 | 睪 → ⿱罒幸 | 幸 → ⿱土𢆉 | 𢆉 → ⿱丷干,yi4,8167.0,3.0,._.4oAT.|.nhV.|.t.|.8V.j,⿰訁⿱罒⿱土⿱丷干,._.4oAT.|.nhV.|.t.|.8V.j
----iv-ivijil---i-,䜅,䜅 → 訁崔 | 崔 → 山隹 | 山 → 凵丨,,,,,,
----iv-iviv-,詗,詗 → ⿰訁冋 | 冋 → ⿵冂口,xiong4,8986.0,1.0,._.4oAT.).n.o,⿰訁⿵冂口,._.4oAT.).n.o
----iv-iviv--,䛛,䛛 → 訁回 | 回 → 囗口,,,,,,
----iv-ivjl,訥,訥 → 訁內 | 內 → 冂入,,,,,,
----iv-ivjliv--,誻,誻 → ⿰訁沓 | 沓 → ⿱水曰,ta4,9276.0,1.0,._.4oAT.|.lva.bX,⿰訁⿱水曰,._.4oAT.|.lva.bX
----iv-ivjv-,訵,訵 → 訁四 | 四 → 囗丿㇄,,,,,,
----iv-ivlj-l-v,誷,誷 → 訁罔 | 罔 → 𦉰亡 | 𦉰 → 冂䒑 | 亡 → 亠𠃊,,,,,,
----iv-j--i,許,許 → ⿰訁午 | 午 → ⿱𠂉十,xu3,6482.0,30.0,._.4oAT.|.fV.0,⿰訁⿱𠂉十,._.4oAT.|.fV.0
----iv-j--iiii-llll,譕,譕 → 訁無 | 無 → 𠂉卌一灬 | 卌 → 卄〢,,,,,,
----iv-j--ijl,誄,誄 → 訁耒 | 耒 → 一未 | 未 → 一木,,,,,,
----iv-j--ijl,誅,誅 → 訁朱 | 朱 → 丿未 | 未 → 一木,,,,,,
----iv-j--jl,䛈,䛈 → 訁矢 | 矢 → 𠂉大,,,,,,
----iv-j--jl,詄,詄 → ⿰訁失 | 失 → ⿰丿夫 | 夫 → ⿻二人,die2,9779.0,1.0,._.4oAT._./.).=.a,⿰訁⿰丿⿻二人,._.4oAT._./.).=.a
----iv-j--v,䚽,䚽 → 訁毛,,,,,,
----iv-j-i--,詐,詐 → ⿰訁乍 | 乍 → ⿱𠂉⿰丨二,zha4,9275.0,1.0,._.4oAT.|.fV._.l.=,⿰訁⿱𠂉⿰丨二,._.4oAT.|.fV._.l.=
----iv-j-i-jv,詵,詵 → ⿰訁先 | 先 → ⿱𠂒儿,shen1,8418.0,2.0,._.4oAT.|.f=.y,⿰訁⿱𠂒儿,._.4oAT.|.f=.y
----iv-j-i-jvj-i-jviv---jl,讚,讚 → ⿰訁贊 | 贊 → ⿱兟貝 | 兟 → ⿰先先 | 先 → ⿱𠂒儿 | 先 → ⿱𠂒儿 | 貝 → ⿱目八,zan4,7513.0,6.0,._.4oAT.|._.|.f=.y.|.f=.y.|.e.8,⿰訁⿱⿰⿱𠂒儿⿱𠂒儿⿱目八,._.4oAT.|._.|.f=.y.|.f=.y.|.e.8
----iv-j-ijl,訸,訸 → 訁禾 | 禾 → 丿木,,,,,,
----iv-j-ijlii,誗,誗 → 訁利 | 利 → 禾刂 | 禾 → 丿木 | 刂 → 丨亅,,,,,,
----iv-j-ijljv,䛢,䛢 → 訁秃 | 秃 → 禾几 | 禾 → 丿木 | 几 → 丿㇈,,,,,,
----iv-j-ijljv,誘,誘 → ⿰訁秀 | 秀 → ⿱禾乃 | 禾 → ⿱丿木 | 乃 → ⿹㇡丿,you4,7131.0,10.0,._.4oAT.|.|./.m.).v?./,⿰訁⿱⿱丿木⿹㇡丿,._.4oAT.|.|./.m.).v?./
----iv-j-ijljvljvl,謻,謻 → 訁移 | 移 → 禾多 | 禾 → 丿木 | 多 → 夕夕,,,,,,
----iv-j-ijlvj-,諉,諉 → ⿰訁委 | 委 → ⿱禾女 | 禾 → ⿱丿木,wei3,9547.0,1.0,._.4oAT.|.|./.m./j-,⿰訁⿱⿱丿木女,._.4oAT.|.|./.m./j-
----iv-j-iv---i-,諥,諥 → ⿰訁重 | 重 → ⿱千里 | 千 → ⿱丿十 | 里 → ⿱田土覗,zhong4,7620.0,5.0,._.4oAT.|.|./.0.|.o0.t,⿰訁⿱⿱丿十⿱田土,._.4oAT.|.|./.0.|.o0.t
----iv-j-jl,䚺,䚺 → 訁攵 | 攵 → 𠂉乂,,,,,,
----iv-j-jl,訞,訞 → 訁夭 | 夭 → 丿大,yao1,9876.0,1.0,,,
----iv-j-jliv-iviv-,譑,譑 → 訁喬 | 喬 → 夭口冋 | 夭 → 丿大 | 冋 → 冂口,,,,,,
----iv-j-lj-ljl-iv-,譗,譗 → ⿰訁答 | 答 → ⿱𥫗合 | 合 → ⿱亼口 | 亼 → ⿱人一,zha2,9780.0,1.0,._.4oAT.|.flflV.|.|.a.-.o,⿰訁⿱𥫗⿱⿱人一口,._.4oAT.|.flflV.|.|.a.-.o
----iv-j-v,訖,訖 → 訁乞 | 乞 → 𠂉乙,,,,,,
----iv-j-v,託,託 → ⿰訁乇 | 乇 → ⿱丿七,tuo1,7194.0,9.0,._.4oAT.|./.7,⿰訁⿱丿七,._.4oAT.|./.7
----iv-ji-ijl,䛙,䛙 → 訁休 | 休 → 亻木,,,,,,
----iv-ji-il,詂,詂 → 訁付 | 付 → 亻寸 | 寸 → 𬺰丶 | 𬺰 → 一亅,,,,,,
----iv-ji-v---i-,䛼,䛼 → 訁𬛸,,,,,,
----iv-ji-v---i-jvvl,譭,譭 → 訁毀 | 毀 → 臼土殳 | 臼 → 丨丿一𠃍一一 | 殳 → 𠘧又 | 𠘧 → 丿㇍,,,,,,
----iv-ji-v--jv,誽,誽 → ⿰訁兒 | 兒 → ⿱臼儿,na2,9371.0,1.0,._.4oAT.|.a-c-.y,⿰訁⿱臼儿,._.4oAT.|.a-c-.y
----iv-jii,訓,訓 → ⿰訁川 | 川 → ⿲丿丨丨,xun4,6319.0,39.0,._.4oAT.__./.l.l,⿰訁⿲丿丨丨,._.4oAT.__./.l.l
----iv-jil---i-,誰,誰 → ⿰訁隹,shui2,8654.0,2.0,._.4oAT.a=j-,⿰訁隹,._.4oAT.a=j-
----iv-jil---i--i-,䜃,䜃 → 誰土 | 誰 → 訁隹,,,,,,
----iv-jil---i-jil---i-iv-,㘜,㘜 → 讎口 | 讎 → 雔言 | 雔 → 隹隹,,,,,,
----iv-jil---i-jil---i-j--i,犫,犫 → 讎牛 | 讎 → 雔言 | 雔 → 隹隹 | 牛 → 𠂉十,,,,,,
----iv-jil---i-llll,譙,譙 → 訁焦 | 焦 → 隹灬,,,,,,
----iv-jil---i-vl,謢,謢 → 訁隻 | 隻 → 隹又,,,,,,
----iv-jiv---,詯,詯 → ⿰訁自 | 自 → ⿱丿目,hui4,8351.0,2.0,._.4oAT.|./.e,⿰訁⿱丿目,._.4oAT.|./.e
----iv-jiv----i-,諻,諻 → 訁皇 | 皇 → 白王 | 白 → 丿日,,,,,,
----iv-jiv---j-il,謝,謝 → ⿰訁射 | 射 → ⿰身寸 | 寸 → ⿹𬺰丶,xie4,5996.0,64.0,._.4oAT._./e/.).0X.\,⿰訁⿰身⿹𬺰丶,._.4oAT._./e/.).0X.\
----iv-jiv---jl-i,䜂,䜂 → 訁皋 | 皋 → 白夲 | 白 → 丿日 | 夲 → 大十,,,,,,
----iv-jiv--ivi,䛲,䛲 → 訁帛 | 帛 → 白巾 | 白 → 丿日 | 巾 → 冂丨,,,,,,
----iv-jiv--j-i,諀,諀 → 訁卑 | 卑 → 白丿十 | 白 → 丿日,,,,,,
