strokes,character,decomposition,pinyin_readings,freq_rank,count,encoding,composition,retokenized
lli-iv-ijlvjiv---jl,懶,懶 → 忄賴 | 賴 → 束刀貝 | 束 → 木口 | 貝 → 目八,,,,,,
lli-iv-iv-i-,愊,愊 → 忄畐 | 畐 → 𠮛田 | 𠮛 → 一口,,,,,,
lli-iv-iv-iv-v,慪,慪 → 忄區 | 區 → 匚品 | 品 → 口吅 | 吅 → 口口,,,,,,
lli-iv-ivj-livii-,懢,懢 → 忄監 | 監 → 臣𠂉丶皿 | 臣 → 𠃊丅𠃍丅 | 丅 → 一丨 | 丅 → 一丨,,,,,,
lli-iv-ivvl-i-,慳,慳 → 忄堅 | 堅 → 臤土 | 臤 → 臣又 | 臣 → 𠃊丅𠃍丅 | 丅 → 一丨 | 丅 → 一丨,,,,,,
lli-iv-jl,㤦,No steps,,,,,,
lli-iv-lj-,㤱,No steps,,,,,,
lli-ivi,㤄,No steps,,,,,,
lli-ivii---ijl,慓,慓 → 忄票 | 票 → 覀示 | 覀 → 一口丨丨,,,,,,
lli-ivii--ijl,慄,慄 → 忄栗 | 栗 → 覀木 | 覀 → 一口丨丨,,,,,,
lli-ivii-iv---i,憛,憛 → 忄覃 | 覃 → 覀早 | 覀 → 一口丨丨 | 早 → 日十,,,,,,
lli-ivii-lj-ijl,憟,憟 → 忄粟 | 粟 → 覀米 | 覀 → 一口丨丨 | 米 → 丷木,,,,,,
lli-ivjl,怲,怲 → 忄丙 | 丙 → 一内 | 内 → 冂人,,,,,,
lli-ivjv-,恓,恓 → 忄西 | 西 → 一𠁤 | 𠁤 → 儿囗,,,,,,
lli-ivl,忮,忮 → ⿰忄支 | 支 → ⿱十又,zhi4,6632.0,23.0,._.wA.|.0.4,⿰忄⿱十又,._.wA.|.0.4
lli-j---i---v,㥱,No steps,,,,,,
lli-j-i-jvl-,惰,惰 → ⿰忄⿱左月 | 左 → ⿸𠂇工,duo4,3310.0,1302.0,._.wA.|.).rX.r-.g,⿰忄⿱⿸𠂇工月,._.wA.|.).rX.r-.g
lli-j-i-jvl--i-,墯,墯 → 惰土 | 惰 → 忄左月 | 左 → 𠂇工 | 𠂇 → 一丿,,,,,,
lli-j-iv-vljlvll,憾,憾 → ⿰忄感 | 感 → ⿱咸心 | 咸 → ⿵戌口 | 戌 → ⿵戊一,han4,2269.0,5036.0,._.wA.|.).).rva.-.o.w,⿰忄⿱⿵⿵戊一口心,._.wA.|.).).rva.-.o.w
lli-j-jll,恹,恹 → ⿰忄厌 | 厌 → ⿸厂犬,yan1,5184.0,153.0,._.wA.).r./v/,⿰忄⿸厂犬,._.wA.).r./v/
lli-ji--ijlvlj,慽,慽 → 忄戚 | 戚 → 戊尗 | 戊 → 丿戈 | 戈 → 弋丿 | 尗 → 上小 | 上 → ⺊一,,,,,,
lli-ji-i-,恠,恠 → 忄在 | 在 → 𠂇丨土 | 𠂇 → 一丿,,,,,,
lli-jil,怀,怀 → ⿰忄不 | 不 → ⿸丆⿰丨丶,huai2,762.0,47561.0,._.wA.).rXX._.l.\,⿰忄⿸丆⿰丨丶,._.wA.).rXX._.l.\
lli-jil-,怌,怌 → 忄丕 | 丕 → 不一 | 不 → 丆丨丶,,,,,,
lli-jiliv-,㤳,No steps,,,,,,
lli-jiv-,㤑,No steps,,,,,,
lli-jiv----jl,慎,慎 → ⿰忄真 | 真 → ⿱十具 | 具 → ⿱⿴𠀃三八 | 𠀃 → ⿱冂一,shen4,1765.0,9479.0,._.wA.|.0.|.).|.n.-.3.8,⿰忄⿱十⿱⿴⿱冂一三八,._.wA.|.0.|.).|.n.-.3.8
lli-jiv---jl,㥧,㥧 → 忄頁 | 頁 → 丆貝 | 貝 → 目八,,,,,,
lli-jiv---v,㥀,㥀 → 忄直 | 直 → 十𠀃三 | 𠀃 → 冂一,,,,,,
lli-jiv--jvl--jll,懨,懨 → 忄厭 | 厭 → 厂猒 | 猒 → 日⺼犬,,,,,,
lli-jiv--lvlvlljvl,懮,懮 → 忄憂 | 憂 → 㥑夂 | 㥑 → 丆⺝冖心,,,,,,
lli-jivi,怖,怖 → ⿰忄布 | 布 → ⿸𠂇巾 | 巾 → ⿻冂丨,bu4,1776.0,9400.0,._.wA.).rX.).n.l,⿰忄⿸𠂇⿻冂丨,._.wA.).rX.).n.l
lli-jivii---,愐,愐 → 忄面 | 面 → 丆囬 | 囬 → 囗丨𠄠丨 | 𠄠 → 一一,,,,,,
lli-jivii-jl,愞,愞 → 忄耎 | 耎 → 而大 | 而 → 一𦓐 | 𦓐 → 丿𦉫 | 𦉫 → 冂丨丨,,,,,,
lli-jivii-l-jvjl,懐,懐 → 忄亠罒衣 | 衣 → 亠𧘇,,,,,,
lli-jjiv--ijl,㥳,No steps,,,,,,
lli-jjv--,㤢,No steps,,,,,,
lli-jl,忕,忕 → 忄大,,,,,,
lli-jl--v,恗,恗 → 忄夸 | 夸 → 大亏 | 亏 → 一丂 | 丂 → 一㇉,,,,,,
lli-jl-i,㤒,No steps,,,,,,
lli-jl-i,怦,怦 → ⿰忄平 | 平 → ⿻干丷,peng1,3636.0,869.0,._.wA.).j.8V,⿰忄⿻干丷,._.wA.).j.8V
lli-jl-i-jiv--l,㦋,No steps,,,,,,
lli-jl-iv-i,㥓,No steps,,,,,,
lli-jliv--v,㤿,㤿 → 忄奄 | 奄 → 大电 | 电 → 日乚,,,,,,
lli-jljjl,恢,恢 → ⿰忄灰 | 灰 → ⿸𠂇火,hui1,1364.0,17123.0,._.wA.).rX.8a,⿰忄⿸𠂇火,._.wA.).rX.8a
lli-jljljl,悏,悏 → 忄夾 | 夾 → 大从 | 从 → 人人,,,,,,
lli-jljljljljl,慡,慡 → 忄爽 | 爽 → 大㸚 | 㸚 → 爻爻 | 爻 → 㐅乂 | 爻 → 㐅乂,,,,,,
lli-jll,忲,忲 → 忄太 | 太 → 大丶,,,,,,
lli-jlv,怄,怄 → ⿰忄区 | 区 → ⿷匚㐅,ou4,5536.0,109.0,._.wA.).-v.xX,⿰忄⿷匚㐅,._.wA.).-v.xX
lli-jlvlj,㤜,No steps,,,,,,
lli-jvl,忧,忧 → ⿰忄尤 | 尤 → ⿺尢丶,you1,1461.0,14753.0,._.wA._.rv.\,⿰忄⿺尢丶,._.wA._.rv.\
lli-jvlii,㤡,No steps,,,,,,
lli-jvljjj,㤶,No steps,,,,,,
lli-jvll-,恆,恆 → 忄亙 | 亙 → 𠄠𠂊⺀ | 𠄠 → 一一 | 𠂊 → 丿㇇,,,,,,
lli-ljjliv--ijl,憭,憭 → 忄尞 | 尞 → 昚小 | 昚 → 𡗜日 | 𡗜 → 大丷,,,,,,
lli-lvillll-jivii,懦,懦 → ⿰忄需 | 需 → ⿱⻗而,nuo4,3174.0,1531.0,._.wA.|.-nl4.rn8,⿰忄⿱⻗而,._.wA.|.-nl4.rn8
lli-lvilllliv-iv-iv--ijljl-,㦭,㦭 → 忄靈 | 靈 → 霝巫 | 霝 → ⻗𠱠 | ⻗ → 帀⺀⺀ | 帀 → 一巾 | 巾 → 冂丨 | 𠱠 → 口口口 | 巫 → 工从 | 从 → 人人,,,,,,
lli-v--ivj-,悽,,,,,,,
lli-v-v,怇,怇 → 忄巨 | 巨 → 工コ,,,,,,
lli-v-vjl,恞,恞 → 忄夷 | 夷 → 大弓 | 弓 → コ㇉,,,,,,
lli-vi-iv-,悟,悟 → ⿰忄吾 | 吾 → ⿱五口,wu4,1668.0,10876.0,._.wA.|.rc.o,⿰忄⿱五口,._.wA.|.rc.o
lli-vi-jj-i,惭,惭 → ⿲忄车斤,can2,2943.0,2062.0,.__.wA.70S.//r,⿲忄车斤,.__.wA.70S.//r
lli-vij,㤉,No steps,,,,,,
lli-vjji--v---jl,懙,懙 → 忄與 | 與 → 𦥑一八㇉一丨 | 𦥑 → 𠀉𫜹 | 𠀉 → 丿丄一 | 丄 → 丨一 | 𫜹 → コ一,,,,,,
lli-vjv-vjviv--,憯,憯 → 忄朁 | 朁 → 兓曰 | 兓 → 兂兂  | 曰 → 囗一,,,,,,
lli-vl-i-,恎,恎 → 忄至 | 至 → 𠫔土 | 𠫔 → 一厶,,,,,,
lli-vlj-vlj,㥇,No steps,,,,,,
